id,source,target,p_index,year,type,source's role,target's role
1,1,176,103607,Shu-Suen.03.03.00 (us2 year),Undirected,['intermediary'],['intermediary']
2,1,321,103607,Shu-Suen.03.03.00 (us2 year),Undirected,['intermediary'],['intermediary']
3,176,321,103607,Shu-Suen.03.03.00 (us2 year),Undirected,['intermediary'],['intermediary']
4,1,1,104504,Shu-Suen.09.12.00,Directed,['recipient'],['recipient']
5,1,1,112844,Shu-Suen.08.10.00,Directed,['recipient'],['recipient']
6,1,1,118536,00.00.00.00,Directed,['recipient'],['recipient']
7,1,1,118537,Shu-Suen.08.00.00,Directed,['recipient'],['recipient']
8,1,179,124931,Shu-Suen.09.08.00,Directed,['source'],['intermediary']
9,1,1,125709,Ibbi-Suen.01.00.00,Directed,['recipient'],['recipient']
10,1,1,126034,Shu-Suen.09.02.00,Directed,['recipient'],['recipient']
11,1,1,126113,Shu-Suen.09.08.00,Directed,['recipient'],['recipient']
12,279,1,126384,Shu-Suen.09.12.00,Directed,['source'],['recipient']
13,279,1,126384,Shu-Suen.09.12.00,Directed,['source'],['recipient']
14,159,1,126386,Shu-Suen.09.07.00,Directed,['source'],['recipient']
15,159,1,126386,Shu-Suen.09.07.00,Directed,['source'],['recipient']
16,279,1,126394,Shu-Suen.09.05.00,Directed,['source'],['recipient']
17,279,1,126394,Shu-Suen.09.05.00,Directed,['source'],['recipient']
18,1,331,131056,Ibbi-Suen.02.05.00,Directed,['source'],['intermediary']
19,1,987,131056,Ibbi-Suen.02.05.00,Directed,['source'],['recipient']
20,331,987,131056,Ibbi-Suen.02.05.00,Directed,['intermediary'],['recipient']
21,1,1,134743,Shu-Suen.09.08.22,Directed,['recipient'],['recipient']
22,1,1,201139,Shu-Suen.09.00.00,Directed,['recipient'],['recipient']
23,1,1,210199,Shu-Suen.08.11.00,Directed,['recipient'],['recipient']
24,1,1,212351,Shu-Suen.09.08.00,Directed,['recipient'],['recipient']
25,1,1006,291539,Shu-Suen.09.09.00,Directed,['source'],['intermediary']
26,2,3,100189,Shulgi.46.08.05,Directed,['source'],['recipient']
27,2,3,100191,Amar-Suen.01.03.24,Directed,['source'],['recipient']
28,2,3,100211,Amar-Suen.01.12.11,Directed,['source'],['recipient']
