name,role,profession,family,p index,year
...-da-ta],['source'],,,126167,65.05
...-du,,,,430244,
...-du,,,,458695,
...]-a,,,,113325,68
...]-da,,,,330643,65.1008
...]-ga-ta,,,,330682,
...]-ga,,,,320863,67.1119
...]-guâ‚‡,,,,330679,
...]-guâ‚‡#,,,,118568,77
...]-guâ‚‡,,,,210464,64.0214
...]-ne#-ta,,,,123978,71.07
<<an>>,,,,104673,84.0402
<ARADâ‚‚>-uâ‚ƒ!,,hazanum[mayor],,126313,
<a?>-biâ‚‚-siâ‚‚-im-ti-Å¡eâ‚ƒ,,,,126509,72.09
<laâ‚‚>-NI,,a[arm],,101440,
<na>-luâ‚…-ta,['source'],,,142424,67.0514
AB-[x],,,,104181,
AB-ma?-lik,['intermediary'],,,104135,
AN,,,,102017,
AN,,,,102456,
AN,,,,106307,
AN,,,,106862,
AN,,Å‹ar[place],,109268,
AN,,,,114357,
AN,,,,117363,
AN,,,,126671,
AN,['source'],,,129522,
AN,,a[arm],,130549,
AN,,,,131625,
AN,,,,134698,
AN,,zu[material],,134788,
AN#,,,,131618,
AN#?,,,,115591,
AN-...,,,,430240,
AN-AN,,,,129505,
AN-AN,,,,129505,
AN-[...],,,,104217,62.03
AN-[...],,,,201024,76.0616
AN-[...],,,,108667,85.1
AN-geÅ¡,,,,101863,71.0923
AN-keÅ¡â‚‚,,,,131588,63.123
AN-x-[x],,,,102351,66.1021
AN-x-[x],,,,115813,77.05
AN,,,,101357,55.06
AN,,,,235557,61
AN,,,,107485,63.1
AN,,,,128400,64.06
AN,,,,115503,66.0912
AN,['source'],guza[chair],,123769,68.1119
AN,,gu[cord],,131089,69.01
AN,,,,123810,70.0929
AN,,munus[woman],,104184,74.1106
AN,,,,200532,75
AN,,,,107359,75.12
AN,,,,107359,75.12
AN,,,,101016,81.1207
AN,,,,103590,85.0527
AN,,,,106414,86.0313
AN?,,zid[right],,112427,75.1027
ARADâ‚‚!-mu,['representative'],,,123751,70.0123
ARADâ‚‚#-[mu],,maÅ¡kim[administrator],,124306,75.1117
ARADâ‚‚#-[mu],['representative'],,,124924,77.09
ARADâ‚‚#-mu,,maÅ¡kim[administrator],,108023,
ARADâ‚‚#-mu,['representative'],,,320497,
ARADâ‚‚#-mu#,,,,123539,
ARADâ‚‚#-mu#,['representative'],,,332347,61.01
ARADâ‚‚#-mu#,['representative'],,,274585,71
ARADâ‚‚#-mu#,['representative'],,,126353,76.0924
ARADâ‚‚#-mu#,['representative'],,,109324,77.1214
ARADâ‚‚#-mu,['representative'],,,113019,64.09
ARADâ‚‚#-mu,,maÅ¡kim[administrator],,102508,66.0726
ARADâ‚‚#-mu,['representative'],,,212094,68.12
ARADâ‚‚#-mu,['representative'],,,235384,69.11
ARADâ‚‚#-mu,['representative'],,,128903,70.0108
ARADâ‚‚#-mu,['representative'],,,114333,71.0705
ARADâ‚‚#-mu,['representative'],,,104035,72.0508
ARADâ‚‚#-mu,,,,124244,73.022
ARADâ‚‚#-mu,,maÅ¡kim[administrator],,235387,76.12
ARADâ‚‚#-mu,['representative'],,,416430,78.1129
ARADâ‚‚#-mu,['representative'],,,112569,85.03
ARADâ‚‚#-mu,,,,118477,86.04
ARADâ‚‚#?-[...],,,,103394,
ARADâ‚‚#?-mu,,,,103864,74.11
ARADâ‚‚#?-{d}nanna,['representative'],sukkalmah[official],,218167,74.11
ARADâ‚‚-...,,,,430420,
ARADâ‚‚-<<sanga>>-mu-ta?,,,,202529,74.04
ARADâ‚‚-<mu>,['representative'],,,116884,65.1025
ARADâ‚‚-[...],,,,129508,
ARADâ‚‚-[...],,,,430336,
ARADâ‚‚-[...],,,,103326,75.03
ARADâ‚‚-[...],,,,117295,86.0328
ARADâ‚‚-[da]-na,,,,144566,78.08
ARADâ‚‚-[hulâ‚ƒ-la],,,,118460,64
ARADâ‚‚-[hulâ‚ƒ-la],['intermediary'],,,201452,76.041
ARADâ‚‚-[mu,,maÅ¡kim[administrator],,129491,
ARADâ‚‚-[mu,,maÅ¡kim[administrator],,105191,74.1219
ARADâ‚‚-[mu,,maÅ¡kim[administrator],,134689,76.1212
ARADâ‚‚-[mu],,,,123599,
ARADâ‚‚-[mu],['representative'],,,131059,67.081
ARADâ‚‚-[mu],['representative'],,,101802,75.09
ARADâ‚‚-[mu],['representative'],,,118568,77
ARADâ‚‚-[mu],,,,101343,85.0311
ARADâ‚‚-[mu],,,,104303,86.1225
ARADâ‚‚-[x,,,,125976,84.1112
ARADâ‚‚-da-na-ka,,,,135140,64
ARADâ‚‚-da,,,,101449,74.12
ARADâ‚‚-dingir-ra,,,,125958,
ARADâ‚‚-eâ‚‚-ninnu,,,,100616,
ARADâ‚‚-giâ‚„-salâ‚„-la{ki},,,,128115,56.05
ARADâ‚‚-hu-la,,,,143517,
